food_name,nando,ingredient_count,clear_cook_time,verbs_yes_count,cooktime2,sum,nando2
곤드레비빔밥,1,11,5,4,0.5,15.5,1
족발,1,8,5,5,0.5,13.5,1
토스트,1,4,5,5,0.5,9.5,1
피자,1,4,5,11,0.5,15.5,1
초밥,1,4,5,6,0.5,10.5,1
라멘,1,7,5,9,0.5,16.5,1
낫또,1,5,5,12,0.5,17.5,2
카레우동,1,4,5,10,0.5,14.5,1
무밥,1,11,10,8,1.0,20.0,2
간장계란밥,1,7,10,6,1.0,14.0,1
소고기볶음밥,1,11,10,3,1.0,15.0,1
새우볶음밥,1,6,10,5,1.0,12.0,1
배추된장국,1,6,10,7,1.0,14.0,1
청국장,1,9,10,6,1.0,16.0,1
회,1,10,10,8,1.0,19.0,2
냉면,1,5,10,10,1.0,16.0,1
열무국수,1,14,10,7,1.0,22.0,2
찐만두,1,11,10,4,1.0,16.0,1
감바스,1,8,10,4,1.0,13.0,1
해쉬브라운,1,5,10,5,1.0,11.0,1
콘샐러드,1,9,10,4,1.0,14.0,1
비빔밥,1,10,15,9,1.5,20.5,2
베이컨볶음밥,1,7,15,6,1.5,14.5,1
오므라이스,1,15,15,10,1.5,26.5,2
콩나물국,1,7,15,6,1.5,14.5,1
감자국,1,7,15,5,1.5,13.5,1
비지찌개,1,8,15,7,1.5,16.5,1
단호박훈제오리찜,1,8,15,9,1.5,18.5,2
고등어구이,1,10,15,10,1.5,21.5,2
가자미구이,1,14,15,9,1.5,24.5,2
마늘빵,1,5,15,2,1.5,8.5,1
비빔만두,1,9,15,9,1.5,19.5,2
튀김만두,1,5,15,5,1.5,11.5,1
비빔만두,1,9,15,11,1.5,21.5,2
가지튀김,1,11,15,8,1.5,20.5,2
크림새우,1,7,15,7,1.5,15.5,1
부리또,1,15,15,8,1.5,24.5,2
연어덮밥,1,8,15,6,1.5,15.5,1
야키니쿠,1,11,15,4,1.5,16.5,1
찹스테이크,1,11,20,7,2.0,20.0,2
오징어볶음,1,15,20,11,2.0,28.0,3
콩나물밥,1,12,30,8,3.0,23.0,2
표고버섯영양밥,1,8,30,5,3.0,16.0,1
참치죽,1,8,30,3,3.0,14.0,1
미역국,1,5,30,6,3.0,14.0,1
무국,1,7,30,4,3.0,14.0,1
북엇국,1,9,30,4,3.0,16.0,1
우거지국,1,7,30,11,3.0,21.0,2
된장국,1,8,30,8,3.0,19.0,2
계란감자국,1,10,30,4,3.0,17.0,1
계란국,1,7,30,5,3.0,15.0,1
어묵탕,1,10,30,10,3.0,23.0,2
순두부찌개,1,15,30,9,3.0,27.0,2
버섯찌개,1,10,30,6,3.0,19.0,2
소고기찌개,1,9,30,8,3.0,20.0,2
불고기전골,1,16,30,5,3.0,24.0,2
어묵전골,1,10,30,3,3.0,16.0,1
